amie,nombre_institucion
17H01776,CARDENAL CARLOS MARIA DE LA TORRE
17H01794,JOSE MARIA VELASCO IBARRA
17H01806,UNIDAD EDUCATIVA MUNICIPAL SAN FRANCISCO DE QUITO
17H01807,HIDEYO NOGUCHI
17H01818,ANGELICO DE FIESOLE
17H01822,LUIS STACEY
17H01826,LLANO CHICO
17H01851,SAN FRANCISCO DE QUITO
17H01857,NANEGALITO
17H01903,CHARLES SPURGEON
17H01922,RICARDO RODRIGUEZ
17H01937,GABRIEL NOROÑA
17H01938,PEDRO PABLO TRAVERSARI
17H01947,SAN JERONIMO
17H01949,CRISTOBAL COLON
17H01973,SAN ANTONIO DE PADUA
17H01977,SANTO DOMINGO SAVIO DE POMASQUI
17H01985,MONTPELLIER INTERNACIONAL
17H01988,POMASQUI
17H01996,EL QUITEÑO LIBRE
17H02012,PUELLARO
17H02015,LEONARDO MALDONADO PEREZ
17H02019,SANTIAGO APOSTOL
17H02021,ANTONIO DE ULLOA
17H02022,JOAQUIN SANCHEZ DE ORELLANA
17H02029,ARTURO EICHLER
17H02043,ALEXANDER VON HUMBOLDT
17H02047,LA LIBERTAD
17H02050,UNIDAD EDUCATIVA MITAD DEL MUNDO
17H02062,SAN JOSE DE MINAS
17H02077,ALFREDO PEREZ GUERRERO
17H02079,DOCTOR ARTURO FREIRE
17H02083,JORGE ICAZA
17H02084,RAFAEL ALVARADO
17H02106,CORAZON DE MARIA
17H02108,UNIDAD EDUCATIVA TUMBACO
17H02109,VICTOR MANUEL PEÑAHERRERA
17H02128,LUIS GODIN
17H02133,PEDRO BOUGUER
17H02143,YARUQUI
17H02144,SANTA CATALINA LABOURE
17H02147,PEDRO LUIS CALERO
17H02183,MUNICIPAL CAYAMBE
17H02194,DOMINGO SAVIO
17H02202,NATALIA JARRIN DE ESPINOSA
17H02204,CIUDAD GUAYAQUIL
17H02239,SANTA LUISA DE MARILLAC
17H02242,MARIANO NEGRETE
17H02251,WILLIAM BLAKE
17H02280,UNIDAD EDUCATIVA ALOASI
17H02296,4 DE NOVIEMBRE
17H02323,AMERICA Y ESPAÑA
17H02333,ISMAEL PROAÑO ANDRADE
17H02334,UNIDAD EDUCATIVA UYUMBICHO
17H02352,ESCUELA DE EDUCACION BASICA SANTA CLARA DE ASIS
17H02367,MALCHINGUI
17H02380,COTOGCHOA
17H02399,JUAN MONTALVO
17H02421,LEV VYGOTSKY
17H02433,ROTARY CLUB DE FE Y ALEGRIA
17H02434,FRANCISCANO DE LA INMACULADA
17H02438,JUAN SALINAS
17H02459,DR TELMO HIDALGO DIAZ
17H02461,MADRE DE LA DIVINA GRACIA
17H02475,COLEGIO NACIONAL MIXTO SAN RAFAEL
17H02476,GIOVANNI ANTONIO FARINA
17H02526,UNIDAD EDUCATIVA FISCOMISIONAL TECNICO ECUADOR
17H02528,PEDRO VICENTE MALDONADO
17H02553,UNIDAD EDUCATIVA SAN JUAN EVANGELISTA
17H02648,UNIDAD EDUCATIVA FISCOMISIONAL SANTIAGO APOSTOL
17H02677,ALEMAN DE QUITO
17H02729,SALESIANA DON BOSCO
17H02762,UNIDAD EDUCATIVA MUNICIPAL DEL MILENIO BICENTENARIO
17H02770,COMUNIDAD DE MADRID
17H02850,MERCEDES DE JESUS MOLINA
17H02851,LUIGI GALVANI
17H02860,ACADEMIA ALIANZA INTERNACIONAL
17H02894,CORAZON DE JESUS/MANUELA SAENZ
17H02897,ISM ACADEMY QUITO
17H02926,COLEGIO PARTICULAR VIDA NUEVA I
17H02947,AMERICAN BASIC
17H02952,SAN ANDRES QUITUMBE
17H02985,JOSE ACOSTA VALLEJO
17H03006,PACHAMAMA
17H03051,SOCRATES
17H03140,WILLIAM SHAKESPEARE
17H03156,RAFAEL BUCHELI
17H03169,WILLIAM THOMSON INTERNACIONAL
17H03176,UNIDAD EDUCATIVA PARTICULAR INTISANA
17H03183,UNIDAD EDUCATIVA PARTICULAR LUDOTECA PADRE VICTOR GRADOS
17H03191,EL SAUCE
17H03193,JOSE ENGLING
17H03210,LETRA PARA TODOS
17H03274,LATINOAMERICANO POPULAR
17H03296,AMERICANO DE QUITO
17H03316,ALBERTO EINSTEIN
17H03342,JOSE RICARDO CHIRIBOGA V.
17H03641,UNIDAD EDUCATIVA C.D.I. DEL CANTON MEJIA
17H04182,"UNIDAD EDUCATIVA PARTICULAR ""LICEO ECUATORIANO"""
17H04281,UNIDAD EDUCATIVA ALTO CENEPA
17H04386,UNIDAD EDUCATIVA PARTICULAR “EL REVENTADOR”
18H00003,SAN PIO X
18H00010,SANTO DOMINGO DE GUZMAN
18H00012,CAPITAN GEOVANI CALLES
18H00017,UNIDAD EDUCATIVA PARTICULAR JUAN LEON MERA LA SALLE
18H00022,FE Y ALEGRIA
18H00048,ELITE EDUCATIVA
18H00074,ABC
18H00079,UNIDAD EDUCATIVA GONZALEZ SUAREZ
18H00087,GUAYAQUIL
18H00114,SANTA MARIANITA DE JESUS
18H00128,LAS AMERICAS
18H00154,LA PROVIDENCIA
18H00162,JOSE JOAQUIN OLMEDO
18H00169,ERNESTO BUCHELI
18H00189,HONORATO VASQUEZ
18H00195,HONDURAS
18H00201,PIO LOPEZ
18H00205,UNIDAD EDUCATIVA CEBI
18H00206,ATENAS
18H00209,JULIO ENRIQUE FERNANDEZ
18H00212,TIRSO DE MOLINA
18H00242,PASA
18H00263,PICAIHUA
18H00291,NICOLAS MARTINEZ
18H00313,UNIDAD EDUCATIVA SANTA ROSA
18H00327,DARIO GUEVARA
18H00328,TOMAS SEVILLA
18H00339,FRAY SEBASTIAN ACOSTA
18H00396,BENJAMIN ARAUJO
18H00465,17 DE ABRIL
18H00478,DOMINGO FAUSTINO SARMIENTO
18H00509,MARIANO BENITEZ TORRES
18H00531,PELILEO
18H00543,ESCUELA DE EDUCACION BASICA SIMON BOLIVAR
18H00553,LA INMACULADA
18H00593,ANTONIO CARRILLO MOSCOSO
18H00603,Unidad Educativa del Milenio Santiago de Pillaro
18H00690,JUAN PABLO II
18H00692,SAGRADA FAMILIA
18H00867,UNIKIDS
18H00982,UNIDAD EDUCATIVA LEONARDO MURIALDO
19H00027,UNIDAD EDUCATIVA FISCOMISIONAL SAN FRANCISCO
19H00050,ESCUELA DE EDUCACION BASICA MONSEÑOR RICARDO FLATZ
19H00110,MONSEÑOR JORGE MOSQUERA
19H00152,YAGUARZONGO
19H00209,MONS JORGE MOSQUERA
19H00225,TENIENTE SEGUNDO QUIROZ
19H00272,UNIDAD EDUCATIVA FISCOMISIONAL JUAN XXIII
19H00296,PADRE JUAN GONZALEZ
19H00297,COLEGIO DE BACHIILLERATO UNION NACIONAL DE EDUCADORES
19H00336,ESCUELA DE EDUCACION BASICA CACHA
19H00337,ECUADOR AMAZONICO
19H00473,UNIDAD EDUCATIVA CIUDAD DE LOYOLA
19H00492,SEGUNDO CUEVA CELI
19H00618,UNIDAD EDUCATIVA DEL MILENIO DE GUAYZIMI
20H00001,COLEGIO FISCOMISIONAL ALEJANDRO HUMBOLDT
20H00012,JACINTO GORDILLO
20H00030,UNIDAD EDUCATIVA SAN FRANCISCO DE ASIS
21H00108,PACIFICO CEMBRANOS
21H00129,LEOPOLDO LUCERO
21H00130,DR. CAMILO GALLEGOS DOMINGUEZ
21H00150,UNIDAD EDUCATIVA ADVENTISTA EMANUEL
21H00169,DURENO
21H00232,SAN MIGUEL DE BOLIVAR
21H00306,TIWINTZA
21H00321,PACAYACU
21H00332,JAMBELI
21H00351,ERNESTO ALBAN MOSQUERA
21H00494,ANGEL ALMEIDA
21H00543,11 DE JULIO
21H00558,SAN FRANCISCO DE ASIS
21H00589,ADALBERTO ORTIZ
21H00621,U E SIETE DE JULIO
21H00653,EL PLAYON
22H00001,CABO RICHARD OSWALDO BURGOS SUAREZ
22H00060,JORGE RODRIGUEZ ROMAN
22H00087,JOSE VICENTE ZAMBRANO FARFAN
22H00107,INTERNATIONAL SCHOOL
22H00124,CAPITAN GIOVANNI CALLES
22H00138,PADRE MIGUEL GAMBOA
22H00166,DAYUMA
22H00271,MONSEÑOR OSCAR ARNULFO ROMERO
22H00280,PUYANGO
22H00308,PRINCESA PACCHA
22H00393,UNIDAD EDUCATIVA FISCOMISIONAL JUAN PABLO II
22H00420,PADRE RICARDO NARDI
22H00452,JOSE DE VILLAMIL
22H00530,UNIDAD EDUCATIVA DEL MILENIO YASUNI
23H00007,RAUL GONZALEZ ASTUDILLO
23H00023,U.E. KOLPING
23H00064,FE Y ALEGRIA
23H00091,UNIDAD EDUCATIVA SANTO DOMINGO DE LOS COLORADOS
23H00103,SEMILLITAS DE DIOS
23H00117,UNIDAD EDUCATIVA MARISCAL SUCRE
23H00160,UNIDAD EDUCATIVA MADRE LAURA
23H00171,KASAMA
23H00272,UNIDAD EDUCATIVA ANGELITOS DE LUZ
23H00377,UNIDAD EDUCATIVA LATINO
23H00379,PIERA GRAZIA BRUCCOLERI
23H00413,NAZARET
23H00514,PUERTO LIMON
23H00537,ESCUELA DE ED. BAS. HOLGER VELASTEGUI DOMINGUEZ
23H00543,UNIDAD EDUCATIVA LUZ DE AMERICA
23H00551,PICHINCHA
23H00562,WASHINGTON PAZMIÑO VARGAS
23H00568,YAHUARCOCHA
23H00580,PROFESOR RICARDO ALVAREZ MANTILLA
23H00610,UE VALLE HERMOSO
23H00639,UNIDAD EDUCATIVA LUIS ISCH CHIRIBOGA
23H00659,UNIDAD EDUCATIVA JAIME DEL HIERRO
23H00688,UNIDAD EDUCATIVA MARISTA PIO XII
23H00696,UNIDAD EDUCATIVA PARTICULAR CALASANZ 2
23H00737,UNIDAD EDUCATIVA PARTICULAR PABLO PALACIOS
23H00824,UNIDAD EDUCATIVA ALESSANDRO VOLTA
23H00825,UNIDAD EDUCATIVA JAIME ROLDOS AGUILERA
23H00829,UNIDAD EDUCATIVA SAN JACINTO DEL BÚA
23H00834,UNIDAD EDUCATIVA JOAQUIN GALLEGOS LARA
23H00840,UNIDAD EDUCATIVA EXCELSO ESPIRITU SANTO
24H00015,SANTA ELENA
24H00023,VEINTICUATRO DE JULIO
24H00034,SAN PABLO
24H00059,QUINCE DE MARZO
24H00060,JUAN ALBERTO PANCHANA PADRON
24H00061,PALMAR
24H00062,RAFAEL MORAN VALVERDE
24H00066,SANTA MARIA DEL FIAT
24H00083,2 DE JUNIO
24H00091,AURELIO CARRERA CALVO
24H00092,ABG. CASIMIRO SORIANO BORBOR
24H00101,FRANCISCO PIZARRO
24H00106,SAN MARCOS
24H00108,EDUARDO ASPIAZU ESTRADA
24H00112,MERCEDES GONZALEZ DE MOSCOSO
24H00115,MARGOTH SANTISTEVAN DE SAN LUCAS
24H00131,EUGENIO ESPEJO
24H00133,ANTONIO JOSE DE SUCRE
24H00135,CRISTOBAL COLON
24H00147,JOSE MARIA CHAVEZ MATA
24H00148,CESAREO CARRERA ANDRADE
24H00149,FRANCISCO DE MIRANDA
24H00182,UNIDAD EDUCATIVA PEDRO FRANCO DAVILA
24H00193,ING. SIXTO CHANG CANSING
24H00197,UNIDAD EDUCATIVA SANTA TERESITA
24H00206,UNIDAD EDUCATIVA SEGUNDO CISNEROS ESPINOZA
24H00214,UNIDAD EDUCATIVA LA LIBERTAD
24H00257,JOSE PEDRO VARELA
24H00261,UNIDAD EDUCATIVA DR. LUIS CELLERI AVILES
24H00284,PEDRO MARIA ZAMBRANO REYES
24H00314,UNIDAD EDUCATIVA NUESTRO MUNDO
24H00325,COLEGIO MUNICIPAL TECNICO SALINAS SIGLO XXI
24H00326,OASIS TAMAYENSE
24H00327,UNIDAD EDUCATIVA MUEY
24H00328,UNIDAD EDUCATIVA SALINAS INNOVA
24H00331,FRANCISCO HUERTA RENDON
24H00347,9 DE OCTUBRE
24H00361,COLEGIO PARTICULAR MIXTO UPSE
24H00363,JULIO REYES GONZALEZ
24H00374,SAN AGUSTIN
01B00048,CECIB San José
01B00051,Unidad Educativa Comunitaria Intercultural Bilingüe San José
01H00061,Escuela de Educación Básica Tres de Noviembre
01H00106,Unidad Educativa Francisco Febres Cordero
01H00136,Carlos Crespi II
01H00150,Luis Roberto Bravo
01H00346,Madre Enriqueta Aymer SSCC
01H00450,Unidad Educativa Particular Los Andes
01H00489,Pio XII
01H00520,Unidad Educativa Particular CEDFI
01H00522,Honorato Vázquez
01H00581,Unidad Educativa Chiquintad
01H00662,Unidad Educativa Luz y Guía
01H00733,Escuela de Educación General Básica Amadeo Maldonado Vásquez
01H00741,Fausto Ricardo Chacón Arias
01H00795,José Víctor Ordoñez Zambonino
01H00807,Cornelio Ruilova Sánchez
01H00985,Unidad Educativa Temporal Gualaceo
01H00986,Unidad Educativa Temporal Miguel Malo González
01H01011,Escuela de Educación Básica Martha Bucaram de Roldós
01H01013,Escuela de Educación Básica Mercedes Vázquez Correa
01H01020,Unidad Educativa Particular Santo Domingo de Guzmán
01H01075,Zhidmad
01H01104,El Rodeo
01H01151,Ciudad de Paute
01H01217,Escuela de Educación Básica Gramalote
01H01235,Pucará
01H01279,Galo Plaza Lasso
01H01289,Escuela de Educación Básica Emiliano Hinostroza
01H01346,Unidad Educativa María Mazzarello
01H01360,Cimientos de un Mañana
01H01390,Escuela de Educación General Básica José Félix González
01H01429,Colegio de Bachillerato Gonzalo Cordero Dávila
01H01522,Unidad Educativa Guachapala
01H01535,Escuela de Educación Básica El Diamante
01H01545,Unidad Educativa Divino Niño
01H01566,Unidad Educativa Víctor Gerardo Aguilar
01H01644,Colegio Técnico Particular Sindicato de Choferes de Cuenca
01H01870,Unidad Educativa del Milenio Paiguara
02B00023,Telmo Jiménez
02B00026,Manuela de Santa Cruz y Espejo
02B00078,Unidad Educativa del Milenio Intercultural Bilingüe Amauta Nan
02B00085,Mayta Capac
02B00120,Surupucyu
02H00035,Unidad Educativa Manuel de Echeandia
02H00047,Pedro Carbo
02H00099,Unidad Educativa San Pedro
02H00131,Unidad Educativa del Milenio Intercultural Salinas
02H00219,U.E. Diego de Almagro
02H00232,Colegio Manuel Aguilar
02H00240,Unidad Educativa Chillanes
02H00289,Unidad Educativa Santa Rosa de Cerritos
02H00330,Escuela de Educación Básica Pastaza
02H00331,Unidad Educativa Ciudad de Babahoyo
02H00350,Unidad Educativa Corina Parral de Velasco Ibarra
02H00352,Unidad Educativa Ricaurte
02H00366,Unidad Educativa Jaime Roldós Aguilera
02H00374,Colegio Nacional Técnico la Magdalena
02H00419,Escuela de Educación Básica Franklin Roossevelt
02H00436,Unidad Educativa Sabanetillas
02H00496,Unidad Educativa 10 de Enero
02H00499,Unidad Educativa del Milenio Ángel Polibio Chaves
02H00672,Escuela de Educación Básica Luis Benigno Arregui
03B00031,Jaime Roldós Aguilera
03B00045,Padre Ángel María Iglesias
03H00010,Unidad Educativa Temporal Carlos Lenin Ávila
03H00029,4 de Noviembre
03H00086,Dr. Alberto Gabriel Sánchez Luna
03H00215,Escuela de Educación Básica Particular Corazón de María
03H00261,Rafael Antonio Vintimilla Muñoz
03H00403,Escuela de Educación Básica Pablo Mettler
03H00463,Unidad Educativa Víctor Hugo Abad Muñoz
03H00471,Escuela de Educación Básica Ángel Valverde Jara
03H00479,Unidad Educativa Severo Espinosa Valdivieso
03H00504,Institución Educativa 31 de Octubre
03H00568,Escuela de Educación Básica Francisco Quintana Cantos
03H00741,Unidad Educativa del Milenio Nela Martínez Espinosa
04B00002,El Oro Amarillo
04H00018,San Antonio de Padua
04H00020,Tulcán
04H00028,Consejo Provincial del Carchi
04H00160,García Moreno
04H00197,Carlos Montúfar
04H00203,Nacional Carchi
04H00210,5 de Junio
04H00217,Unidad Educativa El Ángel
04H00394,Piartal
04H00400,Manuel María Velasco
04H00504,Unidad Educativa del Milenio San Gabriel de Piquiucho.
05B00003,Cinco de Octubre
05B00026,Chone
05B00045,Sergio Núñez
05B00069,Luis Telmo Paz y Miño
05B00078,Escuela Charles Darwin Red Monseñor Leónidas Proaño
05B00080,Eudofila Arboleda
05B00088,Padre Alberto Semanate
05B00089,Julio Cabascango
05B00110,Ciudad de Brasilia
05B00113,Jatun Juigua
05B00136,República Dominicana
05H00001,Continental
05H00053,Unidad Educativa Jean Piaget
05H00080,Semillas de Vida
05H00107,Sagrado Corazón de Jesús
05H00151,Unidad Educativa San José de Guaytacama
05H00154,Félix Valencia
05H00221,Toacaso
05H00276,Guillermo Sotomayor Navas
05H00284,Luis Ulpiano de la Torre
05H00288,Carlos Lozada Quintana
05H00423,Gonzalo Pizarro
05H00450,Walther Himmelman
05H00474,Marcelo Sarzosa Salas
05H00539,Ciudad de San José
05H00562,Colegio Once de Noviembre
05H00574,Unidad Educativa del Milenio Cacique Tumbala
05H00593,Luis Cordero
05H00597,Unidad Educativa Gral. Eloy Alfaro
05H00695,UEM Canchagua
05H00716,Unidad Educativa Sigchos
05H00778,Carlos Bayardo Limaico Bassante
05H00838,Jorge Washington
05H00839,General de Policía Bolívar Cisneros
05H00855,Colegio de Bachillerato Técnico Luis Fernando Ruiz
06B00020,Shiry Cacha
06B00050,Mushuk Pakari
06B00114,Unidad Educativa Intercultural Bilingüe Huanca Pallaguchi
06B00119,Charles Darwin
06B00137,Unidad Educativa Intercultural Bilingüe Totoras Indígenas
06B00140,Río Jubal
06B00216,Unidad Educativa Intercultural Bilingüe Ingeniero Hermel Tayupanda
06B00235,Unidad Educativa Intercultural Bilingüe General Rumiñahui
06B00389,Batalla de Tío Cajas
06B00404,Unidad Educativa Intercultural Bilingüe Achullay
06B00484,Educación General Básica Luis Cordero Crespo
06B00486,Rafael Avilés Moncayo
06B00498,Héroes del Cenepa Atapo Santa Cruz
06H00002,Unidad Educativa Jefferson
06H00020,Centro de Educación Básica 21 de Abril
06H00255,Unidad Educativa Adolfo Kolping
06H00759,Unidad Educativa Fiscal Galápagos
06H00772,Unidad Educativa 24 de Mayo
06H00854,Unidad Educativa Chunchi
06H00957,Dra. Francisca Paguay
06H01004,27 de Febrero
06H01032,Colegio Técnico Nacional Alfredo Pérez Guerrero
06H01064,Unidad Educativa Dr. Manuel Rodríguez Orozco
06H01081,República Federal de Alemania
06H01216,Dr. Gonzalo Oleas Zambrano
06H01261,Unidad Educativa del Milenio Penipe
06H01290,Manuel Álvarez Méndez
06H01325,Mariscal Sucre
07H00004,Sagrado Corazón de Jesús
07H00043,Colegio de Bachillerato República del Ecuador
07H00046,Unidad Educativa Particular Bilingüe El Principito & Marcel Laniado de Wind
07H00135,Víctor Antonio Moreno Mosquera
07H00268,Tía Patty
07H00275,Sulima García Valarezo
07H00397,Amazonas
07H00411,Colegio de Bachillerato Arenillas
07H00485,Colegio de Bachillerato Ayapamba
07H00741,Lcda. Olga Campoverde
07H00762,Colegio de Bachillerato Marcabeli
07H00827,Unidad Educativa Particular Santísimos Corazones
07H00976,Escuela de Educación Básica Juan Jacobo Rousseau
07H01025,Colegio de Bachillerato Miguel Ángel Corral
07H01088,Herminia Grunauer de Loayza
07H01107,CEP Unidad Educativa Particular Altamira
07H01197,Colegio de Bachillerato Miguel Sánchez Astudillo
07H01220,Escuela de Educación Básica 29 de Noviembre
07H01260,Colegio de Bachillerato 07 de Septiembre
07H01461,Unidad Educativa Particular del Pacífico
07H01493,Unidad Educativa del Milenio General Eloy Alfaro delgado
08B00014,Escuela EGB Fiscal German Nastacuaz
08B00025,Escuela EGB Fiscal Gonzalo Pizarro
08H00021,Colegio Anexo UniversitaRío José Basurto Mendoza
08H00024,Escuela EGB Fiscal Ricardo Paredes Romero
08H00075,Escuela EGB Nazareth
08H00147,Unidad Educativa 21 de Septiembre
08H00158,Unidad Educativa Fiscal Esmeraldas
08H00209,Escuela EGB Fiscal Ciudad de Riobamba
08H00292,Nuevo Mundo
08H00297,Colegio de Bachillerato Fiscal Libertad de Timbre
08H00308,Escuela EGB Fiscal Ricardo Paredes Romero
08H00345,Unidad Educativa Particular Frances
08H00414,Unidad Educativa Fiscomisional Paulo VI
08H00431,Col. Técnico 16 de Octubre
08H00440,Unidad Educativa Santa María de Los Cayapas
08H00513,Escuela EGB Fiscal Gran Colombia
08H00580,U.E. Alfredo Pérez Guerrero
08H00611,Escuela EGB República de Francia
08H00690,Colegio Bachillerato Fiscal Luz María Molina
08H00709,Centro Educativo de Enseñanza Artesanal 16 de Agosto
08H00750,Escuela EGB Ernesto Velásquez Kuffo
08H00756,Escuela EGB 3 de Julio
08H00770,Escuela EGB Puerto Balao
08H00796,Colegio de Bachillerato Particular Manuel Antonio Casanova Macías
08H00811,Colegio Andrés F. Córdova
08H00939,EGB Simón Bolívar
08H00976,EGB Malimpia
08H01039,Escuela Marieta de Veintimilla
08H01069,Carlos Garbay Montesdeoca
08H01112,Tierra Esmeraldeña
08H01164,Nueva Concordia
08H01183,Escuela EGB Mariscal Sucre
08H01200,Colegio de Bachillerato 22 de Marzo
08H01256,Escuela EGB Fiscal Juan Benigno Checa Drouet
08H01293,Escuela EGB Príncipe de Paz
08H01310,Escuela EGB Adalberto Ortiz Quiñónez
08H01433,Unidad Educativa Fiscal del Milenio Profesora Consuelo Benavides
08H01567,Manuela Cañizares
08H02246,Escuela de EGB Personitas del Futuro
08H02255,Jorge Chiriboga Guerrero
08H02258,Unidad Educativa del Milenio Simón Plata Torres
09B00038,Unidad Educativa Comunitaria Intercultural Bilingüe Cacique Tumbala
09H00093,Unidad Educativa Fiscal Rafael García Goyena
09H00281,Luz y Vida
09H00354,Capitán Pedro Oscar Salas Bajaña
09H00397,Escuela Nro. 151 Enrique Gil Gilbert
09H00457,Sir Francis Bacon
09H00473,Unidad Educativa Fiscal Pablo Hannibal Vela Egüez
09H00481,Abraham Lincoln
09H00495,Jardín y Escuela Geniecitos A Triunfar
09H00674,Colegio Particular Instituto Coello
09H00719,Unidad Educativa Aguirre Abad
09H00803,Unidad Educativa Particular José María Urbina
09H00813,Colegio Particular PERT
09H01301,Escuela de Educación Básica Particular Guayas y Quil
09H01327,Unidad Educativa Prócer León de Febres Cordero
09H01409,Escuela Santa Narcisa de Jesús
09H01501,Unidad Educativa Brisas del Río
09H01547,Gral. George Smith Patton
09H01581,Márquez de Selva Alegre
09H01619,General M Edelman
09H01802,Escuela de Educación Básica Fiscal María Barquet de Isaías
09H01866,Unidad Educativa Básica Ecomundo Vespertino
09H01926,Unidad Educativa Santa María Goretti
09H01939,Unidad Educativa Particular San Luis
09H02114,Colegio Fiscal Técnico Provincia de Chimborazo
09H02136,Las Cumbres 1370
09H02211,Vida Nueva
09H02408,Río Macará
09H02426,Sagrada Familia
09H02443,Escuela de Educación Básica Superior Fiscal Dra. Bertha Valverde de Duarte
09H02560,Unidad Educativa Lola Arosemena de Carbo
09H02568,Escuela de Educación Básica Particular Ausubel
09H02689,Unidad Educativa Particular San Gabriel de La Dolorosa
09H02812,Colegio Fiscal Puna
09H02826,Escuela de Educación Básica Fiscal Nicolás Augusto González
09H02830,Escuela de Educación Básica Completa Fiscal #13 Luz de América
09H02832,Colegio Fiscal Primero de Junio
09H02865,Escuela de Educación Básica Primero de Junio
09H02867,Unidad Educativa Presidente Vicente Ramón Roca
09H02892,Escuela de Educación Básica Doce de Octubre
09H02898,Unidad Educativa Balao
09H02976,Nueva Juventud
09H03077,Mundo de Alegría
09H03078,Unidad Educativa Nuestra Señora del Rosario
09H03080,Doce de Septiembre
09H03138,Diez de Agosto
09H03159,Marieta Escobar Gavilánez
09H03168,Honoria Méndez Zambrano
09H03215,Unidad Educativa Presidente José Luis Tamayo
09H03248,Unidad Educativa Daulis
09H03371,Padre Juan de Velasco
09H03396,Patria Ecuatoriana
09H03411,Colegio Particular Nuestra Señora del Carmen
09H03492,Golfo de Guayaquil
09H03496,Escuela de Educación Básica Rina Ortiz de Bucaram
09H03590,Escuela de Educación Básica Carlos Julio Pérez Perasso
09H03592,Mons. Enrique Julhes
09H03641,Unidad Educativa Ciudad de Ariel
09H03779,Escuela de Educación Básica 23 de Noviembre
09H03793,Escuela Isabel María Luque de Ponce N.° 10
09H03803,Unidad Educativa El Empalme
09H03822,Unidad Educativa Coronel Pedro Vélez Morán
09H03850,Unidad Educativa Sagrado Corazón de Jesús
09H03877,Escuela de Educación Básica Divina Providencia
09H03972,Escuela de Educación Básica Daule Peripa
09H04030,Escuela de Educación Básica Antonio Neumane
09H04040,Unidad Educativa Vicente Rocafuerte
09H04058,Unidad Educativa El Triunfo
09H04060,Escuela de Educación Básica Juan Montalvo
09H04065,Escuela de Educación Básica República de Colombia
09H04066,Unidad Educativa Ciudad de Belén
09H04092,E.E.B. Victoria Macías de Acuña
09H04118,E.E.B Antonio José de Sucre
09H04127,Unidad Educativa Francisco Falquez Ampuero
09H04204,U.E. Paul Ponce Rivadeneira
09H04281,Carmen Mora de Encalada
09H04288,Mercedes Goetta de Parodi
09H04312,Colegio Fiscal Naranjal
09H04324,Mariscal Sucre
09H04395,Ismael Pérez Pazmiño
09H04408,Baltazara Calderón de Rocafuerte
09H04542,Centro de Educación Básica Fiscal N.º 2 Crespín Cerezo
09H04559,Escuela Heriberto Policarpo Rodríguez Ortega
09H04638,Unidad Educativa Particular Olida Dueñas Moreira
09H04722,Escuela de Educación Básica Fiscal Francisco de Orellana
09H04742,3 de Febrero
09H04790,Escuela de Educación Básica Trece de Mayo
09H04812,Unidad Educativa Cabuyal
09H04825,Escuela de Educación General Básica No. 3 Cmdt. Rafael Morán Valverde
09H04847,Colegio de Bachillerato General Vernaza
09H04858,Unidad Educativa Particular Franciscano Salitre
09H04899,Escuela de Educación Básica José Julián Sánchez
09H04981,Escuela de Educación Básica Abelardo García Arrieta
09H05004,Escuela de Educación Básica José María Egas
09H05047,Escuela de Educación Básica Mateo Díaz Fuentes
09H05048,Centro Escuela Vicente Rocafuerte
09H05056,Unidad Educativa Freirestabile
09H05067,Playas de Villamil
09H05085,Hacia La Cumbre
09H05088,Laura Vicuña
09H05096,Olga Aguilar Ramos
09H05151,Unidad Educativa Vicente Piedrahita Carbo
09H05206,Escuela de Educación Básica Mariscal Sucre
09H05223,Escuela Particular Santa Rosa
09H05247,Unidad Educativa de La Asunción
09H05315,Escuela de Educación Básica Particular Cordillera de Chongon
09H05394,Escuela Puerto de La Cruz
09H05452,Escuela de Educación Básica 27 de Diciembre
09H05471,Unidad Educativa Hogar de Jesús Nro. 3
09H05500,Unidad Educativa del Milenio Dr. Alfredo Raúl Vera Vera
09H05572,Escuela Los Lojas
09H05812,Escuela de Ed. Básica Particular Fedeguayas
09H05945,Young Living Academy
09H06024,Campoverde
09H06044,Unidad Educativa Ciudad de Belén
09H06054,Unidad Educativa Fiscal Replica Vicente Rocafuerte
09H06161,Tía Angie
09H06163,Unidad Educativa Fiscal Replica Guayaquil
09H06171,Unidad Educativa Fiscal Replica 28 de Mayo
09H06172,Unidad Educativa Fiscal Replica Técnico Simón Bolívar
09H06173,Unidad Educativa Fiscal Replica Aguirre Abad
10B00006,Manuel Freile Larrea
10B00031,Nazacota Puento
10B00032,San Jacinto
10B00043,Provincia de El Oro
10B00101,Tomás Rivadeneira
10B00130,Unidad Educativa Alejandro Chávez
10H00002,Sudamericano
10H00029,U.E. Yahuarcocha
10H00083,28 de Abril
10H00085,U.E. Diocesana Bilingüe
10H00099,U.E. Temporal Mariano Suárez Veintimilla
10H00155,Colegio Los Álamos
10H00158,Luis Napoleón Dillon
10H00201,U.E. Rumipamba
10H00224,Unidad Educativa Fiscomisional Inocencio Jácome
10H00249,Unidad Educativa Abelardo Moncayo
10H00261,Unidad Educativa Temporal Alberto Enríquez
10H00288,Instituto Tecnológico Superior Cotacachi
10H00311,Unidad Educativa Gabriel García Moreno
10H00352,Abelardo Morán Muñoz
10H00400,Diez de Agosto
10H00433,Jatun Kuraka Otavalo
10H00621,Unidad Educativa del Milenio Sumak Yachana Wasi
11B00034,CECIB de Educación Básica Lago de San Pablo
11B00041,Unidad Educativa Intercultural Bilingüe ABC
