amie,nombre_institucion
08H00562,ESCUELA EGB FISCAL RAFAEL ASTUDILLO
08H00584,UNIDAD EDUCATIVA FISCOMISIONAL SAN LUIS GONZAGA
08H00612,ESC.EGB.MANABI
08H00620,UNIDAD.EDUC-SAN FRANCISCO DEL CABO
08H00646,ESC.EGB.PRESIDENTE ROOSEVELT
08H00663,ESC.EGB.GABRIEL IRIARTE RIOS
08H00672,ESC.EGB MONS.ENRIQUE BARTOLUCCI
08H00737,ESCUELA DE EGB TARQUI N° 92
08H00815,UNIDAD EDUCATIVA CIUDAD DE GUARANDA
08H00826,UNIDAD EDUCATIVA FISCOMISIONAL JUAN XXIII
08H00850,ESC. EGB GASPAR DE VILLARROEL
08H00866,UNIDAD EDUCATIVA FISCOMISIONAL CRISTO REDENTOR
08H00900,UNIDAD EDUCATIVA 10 DE OCTUBRE
08H00920,EGB 24 DE SEPTIEMBRE
08H00957,COLEGIO DE BACHILLERATO FISCAL ESMERALDAS
08H01059,COLEGIO DE BACHILLERATO FISCAL QUITO
08H01087,UNIDAD EDUCATIVA FISCAL LA UNION
08H01089,UNIDAD EDUCATIVA FISCOMISIONAL SANTA MARIA DE NAZARET
08H01123,ESCUELA NUEVO AZUAY
08H01131,PROVINCIA DE ESMERALDAS
08H01181,EVANGELICA LUZ Y LIBERTAD
08H01199,UNIDAD EDUCATIVA FISCOMISIONAL 10 DE AGOSTO
08H01207,ESCUELA EGB FISCAL LIZARDO GOYES BENITEZ
08H01228,ESCUELA EGB 4 DE OCTUBRE
08H01246,ESCUELA EGB FISCAL JOSE GABRIEL BATALLAS
08H01278,UNIDAD EDUC. ESTRELLA DEL MAR
08H01282,UNIDAD EDC.JUAN DE DIOS MORALES
08H01300,ESC.EGB.TONCHIGUE
08H01302,ESCUELA EDUCACION BASICA QUITO
08H01303,ESCUELA EGB FISCOMISIONAL VIKTOR SABIN
08H01329,ESC.EGB.JAIME ROLDOS AGUILERA
08H01341,ESC. EGB. ZOILA UGARTE DE LANDIVAR
08H01343,ESC.EGB.ALEXANDER FLEMING
08H01384,UNIDAD EDUCATIVA ARMENGOL LARA VALENCIA
08H01408,SEBASTIAN DE ILLESCAS
08H01410,PROF. AURELIA BECERRA DE QUIÑONEZ
08H01428,RAMON ESTUPINAN
08H01432,ROCAFUERTE
08H01507,UNIDAD EDUCATIVA FISCOMISIONAL SAN LORENZO
08H02400,UE 22 DE MARZO 
09H00011,ES PART MIXTA 103 MERCEDES MORENO IRIGOYEN
09H00049,UE SAN JOSE DE LA BENEFICENCIA DE SEÑORAS
09H00072,UNIDAD EDUCATIVA SAN JOSE LA SALLE
09H00081,DORA RAMIREZ MARQUEZ 1152
09H00124,UNIDAD EDUCATIVA CIENCIA Y FE
09H00205,SAN JOAQUIN Y SANTA ANA
09H00308,SEÑOR DEL ESPIRITU SANTO
09H00310,JOSE DE LA CUADRA
09H00333,FE Y ALEGRIA
09H00338,DRA. MATILDE HIDALGO DE PROCEL
09H00343,RAFAEL MORAN VALVERDE
09H00374,NUESTRA SEÑORA DEL CISNE
09H00375,CORAZON DE MARIA
09H00378,TEPEYAC
09H00398,JORGE ICAZA CORONEL
09H00402,KENYA Nº 740
09H00436,UNIDAD EDUCATIVA FISCOMISIONAL SANTA MARIA MAZZARELLO
09H00486,UNIDAD EDUCATIVA SALESIANA FISCOMISIONAL DOMINGO SAVIO
09H00558,ESCUELA PARTICULAR LA PRESENTACION
09H00570,UNIDAD EDUCATIVA FISCAL PROF. EDUARDO FLORES TORRES
09H00642,UNIDAD EDUCATIVA ACADEMIA NAVAL ALTAMAR
09H00672,UNIDAD EDUCATIVA DE LA PROVIDENCIA
09H00684,ESCUELA DE EDUCACION BASICA PATRIA ECUATORIANA
09H00721,UNIDAD EDUCATIVA ROSARIO SANCHEZ BRUNO
09H00759,ESCUELA ALEMARY SCHOOL
09H00775,UNIDAD EDUCATIVA JOSE DOMINGO DE SANTISTEVAN
09H00787,UNIDAD EDUCATIVA PARTICULAR CENTRO EDUCATIVO NOVUS
09H00801,UNIDA EDUCATIVA PARTICULAR BATALLA DE JAMBELI
09H00842,UNIDAD EDUCATIVA LICEO NAVAL
09H00843,UNIDAD EDUCATIVA UNIVERSITARIA FRANCISCO HUERTA RENDON
09H00859,ESCUELA DE EDUCACION BASICA PARTICULAR BENEMERITA SOCIEDAD FILANTROPICA DEL GUAYAS
09H00868,UNIDAD EDUCATIVA FISCOMISIONAL HNO. FRANCISCO GARATE
09H00878,ALMIRANTE ILLINGWORTH
09H00911,CRUZ DEL SUR
09H00951,ESCUELA PARTICULAR ESPERANZAS DEL FUTURO
09H00973,UNIDAD EDUCATIVA LICEO CRISTIANO DE GUAYAQUIL
09H00975,ALEMAN HUMBOLDT
09H00992,UNIDAD EDUCATIVA EL ATENEO
09H00995,ESCUELA DE EDUCACION BASICA PARTICULAR REY JESUS
09H01011,UNIDAD EDUCATIVA BILINGÜE LICEO ALBONOR
09H01016,UNIDAD GENERAL BASICA MAKARENKO
09H01096,COLEGIO PARTICULAR MIXTO MUNDO AMERICA
09H01098,UNIDAD EDUCATIVA FISCAL 26 DE NOVIEMBRE
09H01161,UNIDAD EDUCATIVA SANTA ANA
09H01175,UNIDAD EDUCATIVA LOS DELFINES
09H01177,UNIDAD EDUCATIVA PRAGA
09H01212,UNIDAD EDUCATIVA BASICA PARTICULAR NUESTRA SEÑORA DEL CARMEN
09H01215,UNIDAD EDUCATIVA PARTICULAR UNIVERSIDAD CATOLICA
09H01221,CENTRO DE  EDUCACION BASICA VESPERTINO SAN JOSEMARIA ESCRIVA
09H01224,UNIDAD EDUCATIVA PARTICULAR INDEPENDENCIA ECUATORIANA
09H01225,UNIDAD EDUCATIVA CLAIRE BUCARAM DE AIVAS
09H01229,ESCUELA DE EDUCACION BASICA COMPLETA FISCAL FRANCISCO GARCIA AVILES
09H01239,UNIDAD EDUCATIVA CENEST HARVARD
09H01309,JARDIN ESCUELA MANUEL MESTANZA ONOFRE
09H01324,ESCUELA FISCAL DR. JOSE MIGUEL GARCIA MORENO
09H01346,TENIENTE HUGO ORTIZ GARCES
09H01359,UNIDAD EDUCATIVA POLITECNICO
09H01372,COLEGIO PROVINCIA DE BOLIVAR
09H01375,UNIDAD EDUCATIVA PARTICULAR JAVIER
09H01418,UNIDAD EDUCATIVA BASICA OLIMPIA
09H01420,UNIDAD EDUCATIVA FISCOMISIONAL SAN BENILDO LA SALLE
09H01463,UNIDAD EDUCATIVA PARTICULAR JEAN PIAGET
09H01474,GENERACION 2000
09H01518,EL PARAISO DE LA FUENTE DEL SABER
09H01527,ESCUELA DE EDUCACION BASICA PARTICULAR DR. AGUSTIN CUEVA TAMARIZ
09H01574,ESCUELA DE EDUCACION BASICA ELIAS MUÑOZ VICUÑA
09H01710,ESCUELA FISCAL MIXTA EMILIO CLEMENTE HUERTA
09H01717,ESCUELA DE EDUCACION BASICA COMPLETA FISCAL ELIAS RIVERO GONGORA
09H01749,ESCUELA PARTICULAR DIECINUEVE DE ENERO
09H01775,ESCUELA DE EDUCACION BASICA FISCAL GUADALUPE LARRIVA GONZALEZ
09H01781,CEFERINO NAMUNCURA
09H01785,UNIDAD EDUCATIVA JOHANN HERBART
09H01800,ESCUELA DE EDUCACION BASICA PARTICULAR FERNANDO PIZARRO BERMEO
09H01803,ESCUELA DE EDUCACION BASICA FISCAL ADALBERTO ORTIZ QUIÑONEZ
09H01822,ESCUELA DE EDUCACION BASICA PARTICULAR PADRE CARLOS CARDENAS VILLAFUERTE
09H01844,UNIDAD EDUCATIVA NUEVO PACTO
09H01860,UNIDAD EDUCATIVA BILINGÜE ESPIRITU SANTO
09H01882,UNIDAD EDUCATIVA FISCAL FUERTE MILITAR HUANCAVILCA
09H01942,ESCUELA DE EDUCACION BASICA FISCAL REPUBLICA DE COLOMBIA
09H01975,UNIDAD EDUCATIVA JOSE MARIA EGAS
09H01981,UNIDAD EDUCATIVA SALESIANA CRISTOBAL COLON
09H02006,UNIDAD EDUCATIVA BILINGUE DE LA INMACULADA
