id_parr,nombre_parroquia
080154,CHINCA
010554,EL CABO
220453,SAN JOSE DE PAYAMINO
131951,MACHALILLA
050159,SAN JUAN DE PASTOCALLE
170450,TABACUNDO
060159,QUIMIAG
131552,ANGEL PEDRO GILER (LA ESTANCILLA)
090106,LETAMENDI
170110,EL CONDADO
010951,CUCHIL (CUTCHIL)
131152,SAN SEBASTIAN
050251,GUASAGANDA (CAB. EN GUASAGANDA CENTRO)
150150,TENA
040101,GONZALEZ SUAREZ
110801,GENERAL ELOY ALFARO (SAN SEBASTIAN)
080752,CHUMUNDE
131054,LASCANO
010851,ABDON CALDERON (LA UNION)
180159,PASA
070953,LA PEAÑA
080551,ALTO TAMBO (CAB EN GUADUAL)
010110,SAN BLAS
010561,TOMEBAMBA
130154,PUEBLO NUEVO
150350,ARCHIDONA
130402,4 DE DICIEMBRE
170356,TAMBILLO
110455,POZUL (SAN JUAN DE POZUL)
080254,LA TOLA
132251,CANOA
100253,SAN JOSE DE CHALTURA
131651,BELLAVISTA
091053,MARISCAL SUCRE (HUAQUES)
100157,SAN ANTONIO
120555,LA ESPERANZA
080454,VICHE
030550,EL TAMBO
040501,GONZALEZ SUAREZ
200250,PUERTO VILLAMIL
010158,NULTI
170105,COMITE DEL PUEBLO
091151,JESUS MARIA
111159,URDANETA (PAQUISHAPA)
130107,FRANCISCO PACHECO
240151,ATAHUALPA
091850,SANTA LUCIA
210451,LIMONCOCHA
210455,SIETE DE JULIO
030452,PANCHO NEGRO
130251,MEMBRILLO
092750,GRAL. ANTONIO ELIZALDE (BUCAY)
010169,TURI
110153,EL CISNE
050202,LA MANA
120252,ISLA DE BEJUCAL
140650,SUCUA
020650,CALUMA
050201,EL CARMEN
092350,CORONEL MARCELINO MARIDUEÑA (SAN CARLOS)
131650,SUCRE
170104,COCHAPAMBA
210156,PACAYACU
121051,PATRICIA PILAR
010157,MOLLETURO
090450,BALZAR
010163,SAN JOAQUIN
130801,LOS ESTEROS
